step,start_cycle,result_cycle,cycles
460,568104,569338,1234
461,569339,570573,1234
462,570574,571808,1234
463,571809,573043,1234
464,573044,574278,1234
465,574279,575513,1234
466,575514,576748,1234
467,576749,577983,1234
468,577984,579218,1234
469,579219,580453,1234
470,580454,581688,1234
471,581689,582923,1234
472,582924,584158,1234
473,584159,585393,1234
474,585394,586628,1234
475,586629,587863,1234
476,587864,589098,1234
477,589099,590333,1234
478,590334,591568,1234
479,591569,592803,1234
480,592804,594038,1234
481,594039,595273,1234
482,595274,596508,1234
483,596509,597743,1234
484,597744,598978,1234
485,598979,600213,1234
486,600214,601448,1234
487,601449,602683,1234
488,602684,603918,1234
489,603919,605153,1234
490,605154,606388,1234
491,606389,607623,1234
492,607624,608858,1234
493,608859,610093,1234
494,610094,611328,1234
495,611329,612563,1234
496,612564,613798,1234
497,613799,615033,1234
498,615034,616268,1234
499,616269,617503,1234
