step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
110,1306,-306833,-356472,859113,1,-1,-1,-306199,-356572,857180,753,1035,-541,1035,1838,-787,-541,-787,1007,0,0,0
111,1306,-315740,-361138,878275,1,-1,1,-317879,-365230,881592,746,1013,-553,1013,1788,-794,-553,-794,1039,0,0,0
112,1306,-326443,-365036,905288,-1,1,-1,-324310,-361009,901901,736,985,-564,985,1728,-795,-564,-795,1070,0,0,0
113,1306,-330566,-356714,924792,1,-1,-1,-329723,-356572,922559,726,956,-570,956,1668,-788,-570,-788,1096,0,0,0
114,1306,-333797,-348022,944350,-1,1,-1,-331747,-344222,940922,715,927,-571,927,1607,-774,-571,-774,1116,0,0,0
115,1306,-332885,-331977,959412,-1,1,-1,-330890,-328305,955997,705,900,-567,900,1553,-754,-567,-754,1126,0,0,0
116,1306,-329026,-313184,970100,1,-1,-1,-328078,-312962,967650,696,878,-560,878,1508,-731,-560,-731,1128,0,0,0
117,1306,-323747,-295797,977408,1,-1,1,-325624,-299231,980725,687,859,-549,859,1472,-707,-549,-707,1122,0,0,0
118,1306,-319042,-279764,986494,-1,-1,-1,-321594,-283911,986777,681,844,-537,844,1443,-683,-537,-683,1112,0,0,0
119,1306,-312891,-263654,988484,-1,-1,-1,-315429,-267772,988700,676,834,-523,834,1425,-660,-523,-660,1096,0,0,0
120,1306,-304948,-247686,986210,-1,-1,1,-310123,-255114,991933,674,829,-509,829,1418,-639,-509,-639,1077,0,0,0
121,1306,-298283,-234890,986068,1,1,-1,-293144,-227510,980475,672,829,-496,828,1417,-621,-496,-621,1055,0,0,0
122,1306,-279693,-210659,968007,-1,-1,-1,-282342,-214952,968156,673,835,-479,835,1432,-603,-479,-603,1025,0,0,0
123,1306,-268842,-200928,952934,1,1,-1,-263723,-193464,947662,676,847,-463,847,1458,-589,-463,-589,995,0,0,0
124,1306,-250101,-183769,927991,1,1,1,-247255,-179150,927829,682,865,-445,865,1498,-576,-445,-576,960,0,0,0
125,1306,-234367,-173100,905399,-1,1,1,-234923,-172804,907398,689,889,-428,889,1550,-566,-428,-566,925,0,0,0
126,1306,-223422,-169994,884011,1,1,1,-220318,-164910,883796,700,918,-415,918,1611,-560,-415,-560,893,0,0,0
127,1306,-210348,-165475,859261,1,1,1,-207083,-160098,858996,711,950,-402,950,1678,-555,-402,-555,862,0,0,0
128,1306,-198926,-163777,834001,1,-1,-1,-198632,-164392,832302,724,985,-389,985,1752,-552,-389,-552,833,0,0,0
129,1306,-193063,-171179,808537,-1,1,1,-193273,-170450,810150,738,1021,-381,1021,1830,-553,-381,-553,808,0,0,0
130,1306,-189999,-179699,787825,-1,-1,1,-195637,-188797,792262,751,1057,-376,1057,1908,-558,-376,-558,789,0,0,0
131,1306,-195467,-200349,773389,1,-1,1,-197305,-204153,775895,764,1089,-379,1089,1978,-571,-379,-571,779,0,0,0
132,1306,-199806,-217825,759997,-1,1,-1,-197892,-213862,757463,775,1117,-385,1117,2038,-589,-385,-589,774,0,0,0
133,1306,-202259,-229826,743867,1,1,-1,-196265,-219893,739293,785,1142,-393,1142,2093,-608,-393,-608,773,0,0,0
134,1306,-202211,-237959,727250,1,1,-1,-196114,-227782,722607,793,1163,-401,1163,2142,-626,-401,-626,773,0,0,0
135,1306,-203698,-247894,712454,1,-1,1,-205776,-252213,715077,799,1182,-408,1182,2185,-645,-408,-645,776,0,0,0
136,1306,-216208,-274266,709829,-1,-1,1,-222471,-284833,714681,804,1196,-422,1196,2217,-671,-422,-671,787,0,0,0
137,1306,-235940,-308644,716560,-1,-1,-1,-240012,-315733,717469,806,1201,-444,1201,2226,-706,-444,-706,809,0,0,0
138,1306,-256019,-340830,726874,1,1,-1,-249615,-330055,721554,807,1197,-471,1197,2215,-747,-471,-747,843,0,0,0
