step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
432,1306,-49502,404875,1143216,-1,-1,-1,-51567,401434,1141273,459,445,-95,445,844,58,-95,58,793,0,0,0
433,1306,31009,408866,1074770,1,1,1,33583,412938,1076766,495,532,-20,532,970,88,-20,88,712,0,0,0
434,1306,101807,409880,1033421,1,1,-1,104637,413967,1032203,535,620,53,620,1108,138,53,138,668,0,0,0
435,1306,159737,405887,1007722,1,-1,-1,159074,403944,1005839,576,703,127,703,1244,208,127,208,654,0,0,0
436,1306,202296,393407,994223,1,1,1,206373,399653,997181,615,774,198,774,1365,290,198,290,665,0,0,0
437,1306,240017,386325,996069,-1,-1,1,236906,381402,996191,647,829,269,829,1456,377,269,377,698,0,0,0
438,1306,261548,365793,999059,-1,1,1,262925,368677,1001298,671,866,330,866,1514,456,330,456,742,0,0,0
439,1306,280301,350181,1007172,1,1,-1,283378,355106,1007474,687,886,382,886,1541,523,382,523,792,0,0,0
440,1306,294346,333859,1014683,-1,-1,-1,289153,326094,1009939,696,892,424,892,1541,574,424,574,842,0,0,0
441,1306,293766,304028,1012831,1,-1,1,294409,303890,1014682,701,891,452,891,1530,606,452,606,882,0,0,0
442,1306,293942,280633,1014139,-1,-1,-1,288654,272856,1008984,701,885,470,885,1513,623,470,623,913,0,0,0
443,1306,283773,251236,1002281,1,1,1,289066,258995,1007507,699,880,475,880,1501,626,475,626,928,0,0,0
444,1306,281625,237652,998487,1,-1,1,282371,237629,1000498,697,874,475,874,1491,623,475,623,936,0,0,0
445,1306,272445,218099,987264,1,1,-1,275285,222619,987663,696,873,470,873,1489,615,470,615,935,0,0,0
446,1306,264176,205801,971738,-1,1,1,265851,209001,974510,696,876,462,876,1498,606,462,606,927,0,0,0
447,1306,254240,194948,956004,-1,-1,1,251318,190278,955642,698,884,452,884,1518,598,452,598,915,0,0,0
448,1306,239306,179939,933710,-1,1,-1,238719,180161,931816,701,898,439,898,1550,588,439,588,895,0,0,0
449,1306,227530,173826,908458,1,-1,1,228044,173516,910278,707,918,426,918,1594,580,426,580,873,0,0,0
450,1306,217894,170460,886151,-1,1,-1,217440,170841,884394,715,942,414,942,1648,575,414,575,851,0,0,0
451,1306,209053,171362,860335,-1,1,-1,208683,171852,858654,723,970,404,970,1709,571,404,571,831,0,0,0
452,1306,202368,175635,835330,1,-1,1,202670,175052,836949,733,1000,396,1000,1776,570,396,570,813,0,0,0
453,1306,198261,181428,814637,-1,1,-1,198037,182126,813080,744,1030,391,1030,1843,572,391,572,797,0,0,0
454,1306,195999,191271,792492,-1,1,1,197817,195009,795013,755,1060,388,1060,1911,578,388,578,784,0,0,0
455,1306,198359,206364,776988,-1,-1,-1,192562,196925,772462,766,1088,390,1088,1975,589,390,589,777,0,0,0
456,1306,194616,210684,755319,-1,-1,-1,188717,200979,750780,776,1116,391,1116,2036,600,391,600,770,0,0,0
457,1306,192410,217021,734867,1,-1,1,192453,216060,736241,786,1143,392,1143,2097,611,392,611,765,0,0,0
458,1306,198397,234163,723412,-1,1,1,200419,238383,725985,794,1165,398,1165,2147,627,398,627,765,0,0,0
459,1306,209144,258529,717563,1,1,1,215341,268944,722298,800,1182,410,1182,2185,650,410,650,773,0,0,0
460,1306,227063,291021,720357,1,-1,1,227115,290069,721704,805,1193,430,1193,2207,684,430,684,792,0,0,0
461,1306,240648,313338,724718,1,1,-1,244678,320331,725653,806,1196,452,1196,2210,718,452,718,817,0,0,0
462,1306,260610,344619,736175,1,-1,1,260800,343890,737615,805,1191,479,1191,2195,757,479,757,852,0,0,0
463,1306,278023,367615,754387,-1,1,-1,277738,368197,752866,802,1176,506,1176,2160,795,506,795,895,0,0,0
464,1306,296174,390571,776457,-1,-1,1,292503,384258,775357,795,1154,534,1154,2107,829,534,829,943,0,0,0
465,1306,310893,403477,803775,1,1,-1,314403,409477,804881,785,1124,559,1124,2036,854,559,854,993,0,0,0
466,1306,332962,423965,841417,1,1,1,339279,434073,847900,773,1085,584,1085,1947,873,584,873,1050,0,0,0
467,1306,357027,440151,892884,1,-1,-1,354699,435740,889264,758,1037,608,1037,1836,884,608,884,1115,0,0,0
468,1306,369120,432808,935774,1,-1,-1,366846,428593,932062,739,983,624,983,1717,877,624,877,1173,0,0,0
469,1306,376870,415830,977116,-1,1,1,379047,419794,980856,720,927,630,927,1599,854,630,854,1220,0,0,0
470,1306,384179,395261,1023515,-1,1,-1,383014,394760,1020773,699,871,630,871,1484,817,630,817,1254,0,0,0
471,1306,382031,360969,1055720,-1,1,-1,380809,360457,1052838,679,819,618,819,1380,768,618,768,1269,0,0,0
472,1306,373379,319967,1077122,1,1,1,378618,327150,1083769,661,774,598,774,1298,714,598,714,1265,0,0,0
473,1306,364954,280317,1097868,-1,1,-1,363717,279900,1094871,644,737,574,737,1232,658,574,658,1245,0,0,0
474,1306,344205,233202,1095217,1,-1,1,345386,233520,1098167,632,713,542,713,1193,605,542,605,1207,0,0,0
475,1306,321001,189123,1085968,-1,-1,1,318906,185731,1086212,625,702,508,702,1178,558,508,558,1155,0,0,0
476,1306,291249,147557,1062445,1,1,1,295874,153763,1067806,622,705,472,705,1188,519,472,519,1093,0,0,0
477,1306,267181,121865,1037342,1,-1,-1,265790,119296,1034553,625,720,439,720,1221,489,439,489,1031,0,0,0
478,1306,237119,96095,998252,-1,-1,-1,232527,89684,993525,633,748,406,748,1278,466,406,466,966,0,0,0
479,1306,205336,75113,953470,1,-1,1,205913,74769,955589,646,788,374,788,1359,447,374,447,902,0,0,0
480,1306,181420,66497,914597,-1,1,1,182771,69231,916996,662,836,345,836,1456,433,345,433,844,0,0,0
481,1306,161952,66063,876602,1,1,-1,165187,71323,876488,682,889,321,889,1565,422,321,422,793,0,0,0
482,1306,148325,72438,837824,1,1,1,153357,80296,841598,704,946,302,946,1684,415,302,415,751,0,0,0
483,1306,140542,84577,805156,-1,1,-1,140550,85637,803651,727,1004,288,1004,1805,412,288,412,717,0,0,0
484,1306,131294,92816,769098,-1,-1,1,127323,86132,769077,749,1061,278,1061,1928,411,278,411,688,0,0,0
485,1306,120732,95348,735745,1,1,1,126307,104603,739192,771,1117,267,1117,2049,409,267,409,662,0,0,0
486,1306,123456,116177,708822,-1,-1,-1,117705,106479,705417,791,1169,264,1169,2163,415,264,415,644,0,0,0
487,1306,116910,119765,676440,1,-1,-1,115144,115876,674412,810,1218,260,1218,2275,419,261,419,628,0,0,0
488,1306,116685,131161,647597,-1,-1,1,111933,122801,647386,826,1264,260,1264,2381,427,260,427,615,0,0,0
489,1306,115449,139626,622270,1,1,1,121681,150560,625629,840,1304,260,1304,2475,435,260,435,606,0,0,0
490,1306,128749,170658,604528,-1,-1,-1,122365,159363,601091,852,1337,270,1337,2554,456,270,456,604,0,0,0
491,1306,131091,181517,582059,1,1,-1,136173,190688,582494,862,1365,280,1365,2624,478,280,478,604,0,0,0
492,1306,148451,217021,568537,1,-1,1,147808,214875,569521,870,1389,299,1389,2682,515,299,515,613,0,0,0
493,1306,162670,244687,559920,-1,-1,1,157567,235378,559232,875,1405,323,1405,2722,559,323,559,628,0,0,0
494,1306,174648,268179,553565,1,1,1,181500,280555,557702,878,1414,349,1414,2747,605,349,605,648,0,0,0
495,1306,202887,318423,560878,1,-1,-1,200449,313149,558375,878,1414,386,1414,2744,669,386,669,682,0,0,0
496,1306,224655,354716,568997,-1,1,-1,224999,356355,567977,875,1406,426,1406,2723,736,426,736,724,0,0,0
497,1306,252898,401379,589067,-1,-1,-1,245831,388747,583742,869,1386,471,1386,2675,808,471,808,780,0,0,0
498,1306,275958,435168,613616,1,-1,-1,273288,429588,610476,859,1356,514,1356,2600,873,514,873,844,0,0,0
499,1306,305853,476046,652469,-1,1,-1,305667,476782,651099,846,1314,560,1314,2498,936,560,936,922,0,0,0
