step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
116,-328078,-312962,967650,696,878,-560,878,1508,-731,-560,-731,1128
117,-325624,-299231,980725,687,859,-549,859,1472,-707,-549,-707,1122
118,-321594,-283911,986777,681,844,-537,844,1443,-683,-537,-683,1112
119,-315429,-267772,988700,676,834,-523,834,1425,-660,-523,-660,1096
120,-310123,-255114,991933,674,829,-509,829,1418,-639,-509,-639,1077
121,-293144,-227510,980475,672,829,-496,828,1417,-621,-496,-621,1055
122,-282342,-214952,968156,673,835,-479,835,1432,-603,-479,-603,1025
123,-263723,-193464,947662,676,847,-463,847,1458,-589,-463,-589,995
124,-247255,-179150,927829,682,865,-445,865,1498,-576,-445,-576,960
125,-234923,-172804,907398,689,889,-428,889,1550,-566,-428,-566,925
126,-220318,-164910,883796,700,918,-415,918,1611,-560,-415,-560,893
127,-207083,-160098,858996,711,950,-402,950,1678,-555,-402,-555,862
128,-198632,-164392,832302,724,985,-389,985,1752,-552,-389,-552,833
129,-193273,-170450,810150,738,1021,-381,1021,1830,-553,-381,-553,808
130,-195637,-188797,792262,751,1057,-376,1057,1908,-558,-376,-558,789
131,-197305,-204153,775895,764,1089,-379,1089,1978,-571,-379,-571,779
132,-197892,-213862,757463,775,1117,-385,1117,2038,-589,-385,-589,774
133,-196265,-219893,739293,785,1142,-393,1142,2093,-608,-393,-608,773
134,-196114,-227782,722607,793,1163,-401,1163,2142,-626,-401,-626,773
135,-205776,-252213,715077,799,1182,-408,1182,2185,-645,-408,-645,776
136,-222471,-284833,714681,804,1196,-422,1196,2217,-671,-422,-671,787
137,-240012,-315733,717469,806,1201,-444,1201,2226,-706,-444,-706,809
138,-249615,-330055,721554,807,1197,-471,1197,2215,-747,-471,-747,843
139,-266747,-354722,736279,805,1188,-495,1188,2193,-782,-495,-782,879
140,-278478,-368414,750350,800,1171,-521,1171,2150,-817,-521,-817,922
141,-297311,-390910,775975,792,1148,-544,1148,2096,-844,-544,-844,966
142,-322415,-420586,813014,782,1117,-567,1117,2022,-866,-567,-866,1015
143,-335101,-423592,846620,769,1074,-592,1074,1923,-883,-592,-883,1075
144,-357912,-439633,895191,753,1027,-610,1027,1819,-884,-610,-884,1129
145,-369541,-430645,942178,736,973,-626,973,1700,-876,-626,-876,1185
146,-380317,-415896,990287,716,917,-632,917,1579,-850,-632,-850,1230
147,-385486,-389649,1034460,696,860,-629,860,1463,-809,-629,-809,1261
148,-380875,-349090,1064137,676,807,-617,807,1359,-757,-617,-757,1273
149,-372971,-309303,1088586,657,764,-595,764,1279,-701,-595,-701,1264
150,-355028,-259015,1097422,641,730,-566,730,1220,-644,-566,-644,1236
151,-331316,-209836,1092046,630,710,-531,710,1188,-591,-531,-591,1190
152,-300811,-162511,1068255,624,705,-494,705,1184,-545,-494,-545,1132
153,-271317,-127326,1036820,624,717,-456,717,1211,-508,-456,-508,1064
154,-244402,-105830,1004735,630,741,-420,741,1264,-480,-420,-480,996
155,-220407,-93127,966689,641,776,-388,776,1336,-460,-388,-460,932
156,-195943,-83251,926006,657,820,-360,820,1425,-446,-360,-446,874
157,-170300,-71519,883124,676,872,-336,872,1529,-436,-336,-436,822
158,-152654,-71178,846005,697,928,-313,928,1646,-425,-313,-425,774
159,-138260,-76003,806923,719,987,-294,987,1770,-416,-294,-416,733
160,-122301,-74080,767711,742,1046,-278,1046,1897,-410,-278,-410,699
161,-116005,-86444,735379,764,1105,-264,1105,2025,-403,-264,-403,668
162,-117364,-106879,706618,785,1160,-254,1160,2149,-400,-254,-400,644
163,-116234,-118272,678770,805,1209,-253,1209,2261,-407,-253,-407,627
164,-119815,-137436,653977,823,1255,-255,1255,2365,-417,-255,-417,616
165,-125182,-156996,629105,838,1296,-262,1296,2459,-436,-262,-436,611
166,-126455,-166184,605196,850,1331,-274,1331,2540,-461,-274,-461,611
167,-136336,-190856,585866,861,1360,-286,1360,2611,-487,-286,-487,612
168,-143516,-207737,571198,870,1385,-304,1385,2671,-522,-304,-522,619
169,-160024,-241481,562531,875,1402,-323,1402,2715,-559,-323,-559,631
170,-177238,-272492,558647,878,1412,-350,1412,2739,-610,-350,-610,652
171,-200276,-314652,562611,878,1413,-383,1413,2741,-667,-383,-667,682
172,-229573,-364534,574320,876,1405,-424,1405,2719,-734,-424,-734,725
173,-265181,-422115,602597,869,1384,-473,1384,2667,-811,-473,-811,784
